,Store,Sales,Sales_CF,Percentage1,Percentage2,CF,Explanation
"0,470.0,10045.2001953125,9508.3,0.9,0.95,""[(-470.83, 'Customers'), (-5.0, 'Holidays_thismonth'), (3.11, 'AvgSalesPerCustomer')]"",""['471 customers too many in April', '5 school or state holidays too many in April', 'average sales per customers 3.11€ too low in April']"""
"1,470.0,10045.2001953125,9809.1,0.96,0.98,""[(-2.0, 'Assortment'), (-1.5, 'Holidays_lastmonth'), (1.0, 'Promo2')]"",""['assortment type is extended instead of basic', '2 school or state holidays too many in March', 'store does not participate in ongoing promotion']"""
"2,470.0,10045.2001953125,9904.2,0.96,0.99,""[(-2.0, 'Assortment'), (-1.5, 'Holidays_lastmonth'), (1.0, 'Promo2')]"",""['assortment type is extended instead of basic', '2 school or state holidays too many in March', 'store does not participate in ongoing promotion']"""
"3,470.0,10045.2001953125,9986.1,0.98,1.0,""[(-2.0, 'Assortment'), (-1.5, 'Holidays_lastmonth'), (-0.17, 'SchoolHoliday')]"",""['assortment type is extended instead of basic', '2 school or state holidays too many in March', '5 school holidays too few in April']"""
"4,470.0,10045.2001953125,10046.4,1.0,1.02,""[(-1.5, 'Holidays_lastmonth'), (-0.27, 'SchoolHoliday'), (-0.03, 'Customers')]"",""['2 school or state holidays too many in March', '8 school holidays too few in April', '1 customer too many in April']"""
"5,470.0,10045.2001953125,10354.6,1.02,1.05,""[(-628.73, 'Customers'), (6.78, 'AvgSalesPerCustomer'), (4.4, 'Holidays_nextmonth')]"",""['629 customers too many in April', 'average sales per customers 6.78€ too low in April', '4 school or state holidays too few in May']"""
"6,470.0,10045.2001953125,10503.8,1.04,1.06,""[(408.57, 'Customers'), (3.3, 'Holidays_lastmonth'), (-2.0, 'Holidays_thismonth')]"",""['409 customers too few in April', '3 school or state holidays too few in March', '2 school or state holidays too many in April']"""
"7,470.0,10045.2001953125,10606.7,1.05,1.1,""[(-584.53, 'Customers'), (5.89, 'AvgSalesPerCustomer'), (4.6, 'Holidays_lastmonth')]"",""['585 customers too many in April', 'average sales per customers 5.89€ too low in April', '5 school or state holidays too few in March']"""
"8,470.0,10045.2001953125,11746.8,1.15,1.2,""[(-471.73, 'Customers'), (5.17, 'AvgSalesPerCustomer'), (3.0, 'Holidays_thismonth')]"",""['472 customers too many in April', 'average sales per customers 5.17€ too low in April', '3 school or state holidays too few in April']"""
"9,470.0,10045.2001953125,11796.9,1.16,1.18,""[(132.47, 'Customers'), (4.5, 'Holidays_nextmonth'), (-4.0, 'Holidays_thismonth')]"",""['132 customers too few in April', '4 school or state holidays too few in May', '4 school or state holidays too many in April']"""
